start,end,time_inst,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,p5_1,p5_2,p5_3,p6_1,p6_2,p6_3,p7_1,p7_2,p7_3,p8_1,p8_2,p8_3,p9_1,p9_2,p9_3,p10_1,p10_2,p10_3,p11_1,p11_2,p11_3,p12_1,p12_2,p12_3,p13_1,p13_2,p13_3,p14_1,p14_2,p14_3,p15_1,p15_2,p15_3,p16_1,p16_2,p16_3,p17_1,p17_2,p17_3,p18_1,p18_2,p18_3,p19_1,p19_2,p19_3,p20_1,p20_2,p20_3,p21_1,p21_2,p21_3,p22_1,p22_2,p22_3,p23_1,p23_2,p23_3,p24_1,p24_2,p24_3,p25_1,p25_2,p25_3,p26_1,p26_2,p26_3,p27_1,p27_2,p27_3,p28_1,p28_2,p28_3,p29_1,p29_2,p29_3,p30_1,p30_2,p30_3,p31_1,p31_2,p31_3,p32_1,p32_2,p32_3,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_1,p35_2,p35_3,p36_1,p36_2,p36_3,p37_1,p37_2,p37_3,p38_1,p38_2,p38_3,p39_1,p39_2,p39_3,p40_1,p40_2,p40_3
5/24/17 22:37,5/24/17 22:39,22.255,,,,,,,,,,,,,,,,,,,,,,37,34,21,,,,,,,15,14,12,,,,,,,,,,,,,,,,21,0,1,,,,,,,,,,,,,,,,62,53,75,29,83,20,,,,,,,,,,,,,34,1,1,,,,,,,34,48,1,10,22,2,66,43,36,,,,37,23,32,,,,,,,,,
5/24/17 22:36,5/24/17 22:40,26.487,,,,100,98,36,,,,38,62,26,,,,92,98,44,,,,,,,97,99,57,,,,,,,,,,,,,28,63,42,,,,,,,,,,23,42,30,,,,,,,31,36,20,,,,,,,,,,,,,,,,30,65,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,97,67,,,,62,74,79
5/24/17 22:36,5/24/17 22:40,35.254,,,,100,100,1,,,,,,,,,,1,52,2,100,0,0,,,,,,,1,100,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,3,5,4,,,,,,,,,,1,1,1,1,100,1,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,1,,,
5/24/17 22:36,5/24/17 22:41,34.416,100,100,1,,,,,,,,,,,,,,,,100,100,17,44,45,44,,,,,,,,,,6,5,43,,,,,,,,,,1,1,56,,,,,,,,,,,,,,,,15,13,51,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,43,3,1,1,21,65,100,1,,,,,,,,,,,,
5/24/17 22:36,5/24/17 22:41,30.775,85,86,5,,,,,,,11,53,10,,,,,,,,,,,,,,,,,,,,,,,,,7,81,6,,,,20,82,8,,,,5,46,6,,,,19,85,17,,,,,,,13,84,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,31,16,,,,,,,80,81,22,,,,82,23,84,,,,,,
5/24/17 22:36,5/24/17 22:44,43.459,,,,,,,61,82,98,,,,80,85,72,,,,,,,,,,,,,,,,,,,51,21,69,75,81,75,,,,82,62,74,61,40,52,,,,,,,,,,61,50,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,72,61,81,70,68,,,,50,71,39,,,,,,,,,,,,,,,,,,
5/24/17 22:39,5/24/17 22:48,83.014,,,,,,,,,,,,,,,,0,100,0,100,100,100,,,,,,,,,,,,,,,,15,100,2,,,,,,,10,100,0,,,,,,,,,,,,,93,100,0,,,,,,,,,,,,,,,,,,,2,100,0,100,100,48,10,100,30,,,,,,,,,,,,,90,66,0,,,,,,,,,,50,100,0
5/24/17 22:55,5/24/17 22:57,22.5,1,1,1,,,,,,,21,86,20,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,20,,,,,,,1,1,6,1,1,3,1,1,4,1,1,1,,,,,,,,,,,,,,,,1,3,19,,,,,,,,,,,,,,,,,,,,,
5/24/17 22:54,5/24/17 22:58,22.369,,,,100,90,78,,,,,,,,,,,,,,,,,,,,,,11,25,41,51,65,79,,,,,,,,,,71,54,30,,,,,,,,,,70,20,29,,,,,,,37,0,100,,,,,,,,,,,,,,,,,,,,,,,,,100,55,79,,,,,,,45,16,64,,,,,,,62,83,100,72,62,27,,,
5/24/17 23:08,5/24/17 23:12,28.453,,,,,,,,,,,,,,,,,,,,,,,,,81,72,100,,,,48,65,38,,,,,,,49,73,62,,,,,,,1,5,0,,,,0,13,0,,,,,,,,,,,,,10,100,29,,,,,,,41,52,28,,,,,,,,,,,,,,,,,,,,,,70,96,59,,,,75,93,100,0,0,0,,,
5/24/17 23:08,5/24/17 23:13,29.891,,,,,,,22,20,24,,,,,,,,,,,,,74,75,74,,,,,,,,,,,,,32,63,48,,,,60,84,55,92,91,91,,,,,,,,,,,,,65,80,67,,,,,,,,,,,,,8,8,8,,,,,,,91,91,91,,,,,,,,,,,,,,,,,,,91,92,92,,,,,,,80,80,66
5/24/17 23:12,5/24/17 23:13,23.085,,,,,,,,,,,,,78,69,64,78,67,74,,,,,,,,,,66,64,64,,,,60,77,64,,,,,,,,,,,,,,,,,,,,,,76,57,64,,,,75,57,69,71,64,55,,,,,,,,,,,,,,,,,,,62,49,53,,,,65,64,63,,,,78,72,86,,,,,,,,,,,,,,,
5/24/17 23:13,5/24/17 23:16,22.426,,,,100,100,28,,,,8,90,16,,,,,,,17,58,57,,,,,,,,,,51,100,97,,,,,,,,,,,,,,,,,,,46,85,85,,,,,,,,,,26,51,51,,,,,,,42,82,82,,,,,,,50,39,49,,,,,,,,,,,,,9,68,16,,,,,,,,,,15,65,65,,,,,,
5/24/17 23:14,5/24/17 23:18,22.635,,,,90,100,50,,,,,,,,,,,,,75,50,75,,,,100,50,100,,,,,,,,,,,,,,,,,,,100,50,100,,,,0,0,0,,,,0,0,0,,,,,,,20,80,0,,,,,,,,,,75,100,50,,,,,,,,,,,,,,,,,,,70,30,60,,,,,,,,,,0,0,0,,,
5/24/17 23:14,5/24/17 23:20,58.973,,,,,,,96,96,100,67,85,73,,,,60,70,55,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,16,21,16,,,,,,,,,,,,,,,,,,,20,30,30,,,,25,50,50,,,,20,22,20,,,,,,,92,95,95,,,,36,53,21,,,,,,,,,,,,,,,,,,
5/24/17 23:19,5/24/17 23:21,22.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,50,50,49,49,51,49,48,49,54,,,,,,,,,,48,48,47,,,,,,,,,,,,,,,,35,38,36,,,,,,,,,,49,49,48,55,53,53,,,,50,49,50,,,,,,,53,56,56,,,,,,,,,,,,
5/24/17 23:43,5/24/17 23:46,24.274,77,72,12,,,,,,,,,,71,56,84,,,,94,89,96,,,,,,,90,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,40,49,,,,77,79,91,73,81,95,,,,2,25,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,60,97,,,,,,,78,83,80
5/24/17 23:49,5/24/17 23:53,22.703,,,,,,,,,,,,,,,,,,,,,,,,,11,64,4,,,,,,,6,47,3,60,92,21,,,,,,,59,81,34,2,2,3,,,,10,4,2,3,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,74,62,,,,,,,4,2,39,43,63,79
5/24/17 23:49,5/24/17 23:53,27.451,,,,70,80,50,70,80,5,82,91,10,,,,,,,,,,,,,,,,,,,30,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,80,,,,,,,20,30,30,,,,,,,30,20,40,,,,20,50,10,50,71,31,,,,,,,,,,,,,80,80,50,,,,,,,,,
5/24/17 23:50,5/24/17 23:54,64.443,,,,,,,85,100,2,100,100,14,,,,100,100,69,100,100,49,,,,,,,,,,100,100,80,92,5,100,,,,,,,,,,,,,,,,,,,39,73,2,,,,93,95,71,,,,,,,,,,,,,,,,50,84,27,,,,,,,25,69,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/17 23:50,5/24/17 23:55,34.063,37,48,31,,,,,,,,,,91,86,93,,,,,,,88,79,94,,,,,,,,,,,,,,,,5,13,1,,,,,,,,,,33,63,45,,,,,,,53,57,63,,,,,,,,,,,,,,,,,,,,,,82,81,79,,,,,,,,,,7,25,12,22,26,17,,,,,,,72,75,53,,,,,,
5/24/17 23:52,5/24/17 23:55,21.258,,,,,,,,,,,,,,,,79,93,59,,,,,,,,,,70,81,70,,,,,,,,,,,,,57,78,73,,,,,,,,,,,,,,,,,,,5,6,5,,,,,,,20,15,22,,,,26,21,14,,,,,,,,,,90,93,95,50,28,25,,,,,,,,,,98,94,96,,,,40,29,36,,,
5/24/17 23:50,5/24/17 23:57,207.859,,,,75,55,76,,,,,,,,,,,,,,,,,,,0,75,79,,,,,,,,,,67,39,59,,,,,,,14,60,100,56,6,0,,,,,,,28,9,24,,,,,,,53,75,50,,,,,,,64,79,74,,,,87,38,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,85,14
5/24/17 23:50,5/24/17 23:57,21.199,50,70,5,,,,,,,,,,90,100,20,,,,,,,60,70,30,,,,30,20,20,,,,,,,,,,35,80,10,50,60,30,,,,,,,45,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,70,20,40,40,15,,,,,,,,,,70,50,40,,,,,,
5/25/17 0:13,5/25/17 0:15,37.465,37,46,50,,,,,,,43,56,52,,,,48,62,46,,,,,,,,,,,,,44,52,56,62,53,51,59,52,63,,,,,,,,,,,,,55,54,51,57,52,51,,,,,,,61,53,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,52,60
5/25/17 0:13,5/25/17 0:17,21.385,,,,99,84,92,100,95,87,,,,,,,,,,,,,61,31,37,73,66,37,,,,,,,,,,,,,,,,,,,35,76,29,,,,,,,,,,66,86,72,,,,,,,57,86,67,,,,46,42,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,62,100,85,62,,,,,,
