start,end,time_inst,p1_1,p1_2,p1_3,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,p5_1,p5_2,p5_3,p6_1,p6_2,p6_3,p7_1,p7_2,p7_3,p8_1,p8_2,p8_3,p9_1,p9_2,p9_3,p10_1,p10_2,p10_3,p11_1,p11_2,p11_3,p12_1,p12_2,p12_3,p13_1,p13_2,p13_3,p14_1,p14_2,p14_3,p15_1,p15_2,p15_3,p16_1,p16_2,p16_3,p17_1,p17_2,p17_3,p18_1,p18_2,p18_3,p19_1,p19_2,p19_3,p20_1,p20_2,p20_3,p21_1,p21_2,p21_3,p22_1,p22_2,p22_3,p23_1,p23_2,p23_3,p24_1,p24_2,p24_3,p25_1,p25_2,p25_3,p26_1,p26_2,p26_3,p27_1,p27_2,p27_3,p28_1,p28_2,p28_3,p29_1,p29_2,p29_3,p30_1,p30_2,p30_3,p31_1,p31_2,p31_3,p32_1,p32_2,p32_3,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_1,p35_2,p35_3,p36_1,p36_2,p36_3,p37_1,p37_2,p37_3,p38_1,p38_2,p38_3,p39_1,p39_2,p39_3,p40_1,p40_2,p40_3
5/25/17 6:45,5/25/17 6:49,50.063,100,100,100,,,,,,,,,,,,,,,,,,,100,100,100,,,,18,10,13,100,100,100,,,,,,,31,80,3,23,21,9,,,,,,,,,,,,,,,,,,,49,34,15,,,,,,,94,100,100,,,,,,,,,,,,,,,,,,,,,,56,100,7,16,100,83,,,,,,,,,,,,,,,
5/25/17 6:45,5/25/17 6:50,91.092,,,,,,,49,66,50,,,,,,,17,91,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,47,60,,,,57,26,59,,,,80,35,70,,,,,,,,,,,,,,,,,,,,,,62,31,62,,,,,,,51,62,37,,,,,,,,,,,,,52,80,56,,,,31,10,34,74,62,79
5/25/17 6:46,5/25/17 6:50,37.384,,,,,,,,,,39,11,85,,,,,,,,,,,,,2,6,4,,,,,,,9,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,76,8,,,,29,91,12,,,,30,87,56,,,,46,88,16,,,,28,64,88,,,,80,53,90,,,,,,,,,,,,,69,17,88,,,,,,
5/25/17 6:57,5/25/17 6:59,21.845,,,,41,33,34,,,,,,,24,29,25,25,30,30,,,,,,,6,3,6,,,,,,,,,,20,20,13,,,,,,,20,39,40,,,,,,,,,,,,,,,,,,,56,90,36,,,,,,,,,,,,,,,,72,59,63,,,,,,,,,,54,81,59,,,,,,,,,,,,,,,,45,41,45
5/25/17 6:57,5/25/17 7:02,74.791,,,,,,,,,,,,,,,,,,,,,,67,87,73,,,,,,,,,,,,,,,,9,62,28,75,75,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,38,35,52,49,58,,,,21,20,37,,,,45,41,27,,,,51,51,49,,,,40,38,34,,,,53,79,25,,,,,,,,,
5/25/17 6:52,5/25/17 7:03,36.201,,,,,,,,,,,,,100,100,100,,,,80,100,50,,,,,,,,,,,,,24,11,54,,,,,,,,,,,,,,,,,,,0,0,0,,,,30,45,50,,,,,,,,,,,,,0,0,0,0,0,28,,,,87,81,94,30,69,20,,,,,,,,,,,,,92,93,77,,,,,,,,,,,,
5/25/17 6:56,5/25/17 7:03,77.028,10,98,4,,,,,,,100,100,90,,,,,,,,,,,,,,,,80,91,10,,,,80,99,6,,,,,,,,,,,,,19,30,5,,,,,,,50,80,10,,,,51,90,10,,,,60,91,10,,,,,,,50,70,10,,,,,,,,,,,,,,,,,,,,,,91,100,50,,,,,,,,,,,,
5/25/17 7:02,5/25/17 7:07,26.002,,,,,,,10,23,35,39,25,58,,,,,,,,,,,,,,,,,,,,,,12,8,8,,,,,,,,,,11,27,1,,,,,,,,,,,,,14,26,47,,,,60,57,77,,,,,,,9,40,25,,,,,,,,,,,,,9,40,60,,,,,,,,,,,,,,,,,,,4,5,4,28,40,61
5/25/17 7:16,5/25/17 7:21,43.047,,,,,,,,,,,,,,,,10,75,69,,,,,,,8,62,8,17,72,80,,,,,,,,,,,,,59,83,87,,,,34,46,44,50,73,86,17,63,76,70,96,95,,,,,,,,,,,,,11,41,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,95,98,,,,,,,,,,,,
5/25/17 7:18,5/25/17 7:22,22.656,80,71,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,90,77,,,,,,,35,53,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,41,41,,,,,,,,,,,,,92,74,29,27,22,28,92,79,82,51,80,78,77,70,70,,,,,,,,,,89,75,77,,,,,,
5/25/17 7:23,5/25/17 7:26,26.231,,,,89,96,92,,,,85,96,90,,,,,,,95,99,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,36,70,68,83,82,,,,,,,,,,,,,59,83,80,,,,,,,,,,96,91,97,,,,,,,,,,17,55,7,,,,60,89,78,93,97,94,,,,,,,,,
5/25/17 7:16,5/25/17 7:30,30.293,,,,,,,70,68,63,,,,,,,,,,54,51,50,38,45,37,,,,,,,,,,,,,58,52,47,,,,,,,,,,,,,,,,,,,,,,,,,54,52,45,,,,,,,,,,,,,72,59,72,69,67,57,,,,,,,,,,,,,,,,65,75,63,,,,70,63,66,,,,56,49,46,,,
5/25/17 7:32,5/25/17 7:35,30.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,59,63,76,97,54,,,,,,,75,77,57,,,,,,,,,,58,58,21,,,,39,33,33,,,,,,,,,,,,,,,,,,,26,40,30,41,40,49,27,59,59,,,,36,51,44,,,,,,,,,,71,75,58,,,
5/25/17 7:39,5/25/17 7:41,24.21,,,,,,,,,,,,,87,87,46,,,,73,75,83,,,,47,48,47,9,3,3,,,,,,,,,,,,,,,,68,44,49,28,33,35,,,,,,,,,,76,34,70,70,36,53,,,,,,,,,,40,30,54,,,,59,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/17 8:00,5/25/17 8:04,34.459,100,100,25,,,,,,,0,86,6,,,,,,,,,,,,,,,,15,91,13,,,,16,97,4,,,,,,,,,,,,,,,,,,,,,,51,25,70,,,,,,,,,,,,,,,,,,,21,63,11,,,,,,,93,100,0,,,,,,,,,,6,90,4,,,,81,97,34,100,100,49,,,,,,
5/25/17 8:05,5/25/17 8:06,21.045,,,,,,,,,,51,64,63,44,43,34,,,,,,,,,,,,,,,,37,40,35,42,42,37,70,59,60,,,,69,74,45,,,,,,,45,53,33,,,,,,,,,,,,,69,59,65,,,,,,,,,,,,,,,,,,,,,,65,63,51,,,,,,,,,,60,51,69,,,,,,,,,,,,
5/25/17 8:10,5/25/17 8:11,22.806,,,,,,,53,59,61,,,,,,,,,,62,79,81,,,,,,,68,59,63,,,,,,,,,,,,,,,,,,,,,,59,62,62,62,66,64,,,,,,,,,,,,,,,,66,61,62,40,38,31,76,65,75,,,,,,,,,,69,65,64,,,,,,,,,,,,,,,,,,,80,73,70,,,
5/25/17 8:09,5/25/17 8:13,33.313,,,,,,,,,,,,,80,79,75,,,,,,,,,,,,,82,82,70,100,100,100,,,,,,,,,,,,,,,,10,31,20,,,,,,,90,70,85,,,,90,50,73,100,96,70,81,42,63,,,,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,100,96,100,,,,,,,,,
5/25/17 8:09,5/25/17 8:14,27.128,,,,,,,24,46,32,,,,,,,,,,50,69,50,,,,16,24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,72,27,,,,,,,,,,,,,,,,36,32,40,,,,45,39,48,,,,,,,62,73,29,37,30,43,,,,,,,,,,70,79,49,,,,83,80,13
5/25/17 8:09,5/25/17 8:14,22.091,100,51,100,100,100,100,,,,100,100,100,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,51,100,50,,,,,,,,,,,,,5,10,8,,,,,,,,,,,,,,,,20,44,21,10,52,10,,,,5,1,5,,,,,,,,,,,,,,,,,,,5,100,5,,,,,,,,,,,,
5/25/17 8:09,5/25/17 8:16,36.675,,,,,,,,,,,,,,,,61,72,23,,,,,,,,,,,,,,,,,,,58,44,39,,,,83,55,41,90,96,7,,,,31,2,79,,,,,,,56,63,48,,,,,,,,,,,,,,,,,,,,,,,,,17,6,92,,,,,,,,,,32,15,48,,,,,,,100,91,25,4,3,79,,,
5/25/17 8:16,5/25/17 8:23,36.606,100,100,51,100,100,44,,,,,,,,,,91,91,44,,,,,,,80,94,44,,,,,,,,,,,,,,,,,,,76,86,45,,,,,,,,,,,,,,,,,,,91,100,51,100,90,50,,,,,,,,,,,,,,,,,,,,,,71,76,42,,,,80,86,50,,,,,,,,,,,,,91,91,60
5/25/17 8:19,5/25/17 8:26,55.119,,,,,,,,,,,,,52,1,12,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,16,68,21,,,,0,1,1,,,,,,,0,57,53,,,,0,41,1,,,,,,,,,,,,,,,,1,1,0,64,66,52,,,,,,,,,,10,72,17,,,,1,61,57,,,,,,,,,,,,
5/25/17 8:34,5/25/17 8:36,31.066,,,,,,,,,,77,58,71,,,,,,,,,,100,79,61,66,80,69,,,,65,75,74,,,,82,65,60,73,64,69,,,,,,,73,74,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,67,80,,,,,,,,,,,,,,,,81,70,65,,,,,,,77,72,67
5/25/17 8:52,5/25/17 8:56,87.931,,,,,,,,,,32,42,11,,,,,,,,,,1,1,2,,,,,,,,,,,,,1,33,1,,,,,,,,,,,,,22,61,43,18,53,21,10,49,12,6,53,8,,,,,,,,,,,,,13,52,14,,,,,,,,,,,,,,,,,,,11,32,12,,,,,,,,,,50,76,52,,,,,,
5/25/17 8:53,5/25/17 8:59,23.486,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,70,70,40,,,,,,,10,30,0,,,,50,80,25,,,,,,,,,,,,,,,,50,0,70,,,,,,,,,,,,,50,100,70,85,50,74,,,,,,,,,,70,100,70,,,,0,25,0,,,,,,,,,,,,,,,
