pubyear,earlyyear,n,r,effectid,studyid,attitude,paradigm,fake,figure,obvious,subtle,transformed,es,var
47,50,33,0.07,2232,223,0,p18,37.45,23.8,19.45,73.1,0,0.0701,0.033333333
47,50,33,0.02,2233,223,0,p19,56.61904762,48.92857143,52.76190476,47.23015873,0,0.0200,0.033333333
47,50,33,0.2,2234,223,0,p19,56.61904762,48.92857143,52.76190476,47.23015873,0,0.2027,0.033333333
52,55,40,0.4,2311,231,2,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.4236,0.027027027
52,55,40,0.02,2312,231,2,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.0200,0.027027027
52,55,40,-0.14,2313,231,2,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.1409,0.027027027
52,55,40,-0.12,2314,231,2,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.1206,0.027027027
57,60,99,0.43,2411,241,0,p8,68.82608696,71.52173913,61.04347826,32.86956522,0,0.4599,0.010416667
22,25,83,0.09,2511,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.0902,0.0125
22,25,83,0.23,2512,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.2342,0.0125
22,25,83,0.4,2513,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.4236,0.0125
22,25,83,0.25,2514,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.2554,0.0125
22,25,83,0.35,2515,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.3654,0.0125
22,25,83,0.3,2516,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.3095,0.0125
22,25,83,0.15,2517,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.1511,0.0125
22,25,83,0.14,2518,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.1409,0.0125
22,25,83,0.34,2519,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.3541,0.0125
22,25,83,0.39,25110,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.4118,0.0125
22,25,83,0.52,25111,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.5763,0.0125
22,25,83,0.45,25112,251,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.4847,0.0125
17,20,189,0.54,2711,271,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,1,0.6096,0.0296088
17,20,46,0.56,2811,281,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.6328,0.023255814
17,20,46,0.39,2812,281,2,p37,73.67391304,69.30434783,60.36956522,32.2173913,0,0.4118,0.023255814
64,61,5992,0.1,3111,311,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.1003,0.000166973
58,61,23,0.43,3322,332,1,p17,57,44.93181818,44.68181818,51.12878788,0,0.4599,0.05
58,61,37,0.43,3333,333,1,p17,57,44.93181818,44.68181818,51.12878788,0,0.4599,0.029411765
59,62,43,0.23,3411,341,3,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.2342,0.025
22,25,44,0.5,3511,351,2,p36,72.06818182,52.15909091,41.13636364,44.87878788,1,0.5549,0.04854722
64,67,48,0.35,3631,363,2,p14,58.40909091,42.36363636,39.65909091,53.18939394,0,0.3654,0.022222222
64,67,48,0.26,3632,363,2,p14,58.40909091,42.36363636,39.65909091,53.18939394,0,0.2661,0.022222222
63,62,58,0.06,3711,371,2,p34,50.57777778,35.95555556,28.46666667,61.66666667,0,0.0601,0.018181818
57,58,140,0.18,3811,381,0,p33,48.92857143,42.71428571,39.26190476,56.36507937,0,0.1820,0.00729927
57,58,140,0.02,3812,381,0,p33,48.92857143,42.71428571,39.26190476,56.36507937,0,0.0200,0.00729927
57,58,74,-0.11,3821,382,0,p23,37.35714286,33.54761905,33.73809524,65.11904762,0,-0.1104,0.014084507
57,58,74,0.12,3822,382,0,p23,37.35714286,33.54761905,33.73809524,65.11904762,0,0.1206,0.014084507
57,58,55,0.29,3831,383,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.2986,0.019230769
57,58,55,0,3832,383,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.0000,0.019230769
57,58,55,0.11,3833,383,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,0.1104,0.019230769
57,58,55,-0.05,3834,383,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.0500,0.019230769
57,58,55,-0.1,3835,383,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.1003,0.019230769
57,58,55,-0.03,3836,383,0,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.0300,0.019230769
13,16,49,-0.11,3911,391,3,p35,54.35416667,42.64583333,39.39583333,54.53472222,1,-0.1093,0.0513783
58,61,85,-0.06,4111,411,2,p19,56.61904762,48.92857143,52.76190476,47.23015873,0,-0.0601,0.012195122
58,61,85,-0.05,4112,411,2,p20,39.45454545,30.75,26.75,67.68181818,0,-0.0500,0.012195122
58,61,85,-0.19,4114,411,2,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.1923,0.012195122
58,61,77,0.06,4121,412,2,p19,56.61904762,48.92857143,52.76190476,47.23015873,0,0.0601,0.013513514
58,61,77,0.03,4122,412,2,p20,39.45454545,30.75,26.75,67.68181818,0,0.0300,0.013513514
58,61,77,-0.15,4124,412,2,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.1511,0.013513514
63,66,198,0.12,4211,421,0,p12,68.5952381,56.11904762,56.5,39.5952381,0,0.1206,0.005128205
63,66,219,0.04,4221,422,0,p12,68.5952381,56.11904762,56.5,39.5952381,0,0.0400,0.00462963
63,66,251,0.14,4231,423,0,p12,68.5952381,56.11904762,56.5,39.5952381,0,0.1409,0.004032258
28,31,32,0.76,4311,431,0,p13,42.36585366,32.46341463,33.65853659,63.83739837,1,1.0832,0.4283701
46,46,208,0.32,4411,441,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.3316,0.004878049
46,46,193,0.23,4421,442,0,p1,69.29166667,69.14583333,52.41666667,36.38194444,0,0.2342,0.005263158
66,69,51,-0.26,4611,461,2,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.2661,0.020833333
66,69,51,-0.21,4612,461,2,p22,49.44897959,47.18367347,47.28571429,52.02721088,0,-0.2132,0.020833333
